id,GBSA-Evdw,GBSA-Eele,GBSA-GGB,GBSA-GSA,MM/GBSA,VDW,HB,HP,HM,HS,RT,X-Score,-logka,deltaGexp,charge,C,N,O,F,P,S,Cl,Br,I,heavy atoms,H
6bdy,-42.0479,-408.9528,411.3301,-5.1485,-44.8191,571.9,5.4,5.0,0.0,49.6,7.0,5.65,5.69,-7.7384,1,15,7,5,0,0,0,0,0,0,27,24
6bhv,-65.1658,-307.4112,309.461,-8.2734,-71.3894,896.4,7.9,57.1,0.63,85.3,10.0,7.17,5.23,-7.1128,-2,22,6,14,0,2,0,0,0,0,44,26
6bm5,-43.6074,-411.7259,417.4859,-5.3947,-43.2421,570.4,5.2,2.2,0.0,23.9,7.0,5.58,5.84,-7.9424,1,15,6,5,0,0,1,0,0,0,27,23
6bm6,-43.4712,-87.0513,97.8832,-5.2556,-37.8949,554.0,5.1,2.5,0.0,27.9,7.0,5.52,4.68,-6.3648,0,14,6,5,0,0,1,0,0,0,26,20
6c0s,-83.1765,-72.6971,87.9291,-7.8024,-75.7469,978.6,2.8,79.9,3.22,294.6,4.0,8.29,7.05,-9.588,0,31,9,4,0,0,0,2,0,0,46,31
6c7q,-44.5712,-2.0037,17.6371,-4.9753,-33.9131,557.2,0.0,126.0,4.02,231.8,1.0,6.8,9.15,-12.444,0,25,7,2,0,0,0,0,0,0,34,23
6c7w,-17.1133,-130.4459,94.3507,-4.6969,-57.9054,409.1,3.2,0.0,0.0,0.0,4.0,5.0,5.47,-7.4392,0,10,6,6,0,0,1,0,0,0,23,14
6c7x,-21.246,-129.1408,111.7403,-4.8538,-43.5003,403.4,3.9,7.8,0.66,48.5,4.0,5.19,7.19,-9.7784,0,10,6,6,0,0,1,1,0,0,24,13
6cbf,-36.9454,-127.4772,132.4028,-4.8323,-36.8521,547.8,0.8,115.5,3.3,138.2,2.0,6.49,5.17,-7.0312,-1,16,2,3,0,0,0,0,0,0,21,11
6cbg,-29.5664,-175.9264,170.6386,-3.8704,-38.7246,443.5,1.7,98.3,1.95,93.1,0.0,6.02,3.95,-5.372,-1,10,2,2,0,0,0,0,0,0,14,7
6cdj,-84.0506,-59.6602,78.5035,-9.5738,-74.7811,1063.2,4.5,122.5,3.99,361.2,11.0,8.49,11.7,-15.912,0,34,4,7,2,0,2,0,0,0,49,42
6cdl,-89.0804,-54.5724,76.3424,-9.9291,-77.2395,1054.7,4.5,131.1,4.11,333.5,11.0,8.46,10.92,-14.8512,0,34,4,7,2,0,2,0,0,0,49,40
6ce6,-32.1809,-292.9257,293.1259,-3.4354,-35.4161,395.9,2.7,63.7,1.18,169.9,6.0,5.31,5.1,-6.936,-2,14,2,4,0,0,2,0,0,0,22,10
6ced,-30.3075,-206.0093,200.9911,-3.4208,-38.7465,385.7,2.7,55.6,1.64,113.5,3.0,5.47,5.82,-7.9152,-1,12,2,3,0,0,0,0,0,0,17,11
6chp,-63.7137,-30.2954,40.7926,-7.3548,-60.5713,739.7,3.6,79.5,2.42,264.4,6.0,7.09,10.12,-13.7632,0,24,6,2,0,0,0,0,0,0,32,28
6ckr,-45.1845,-34.5381,47.7323,-6.0522,-38.0425,524.8,1.8,109.1,3.57,113.0,0.0,6.62,7.3,-9.928,0,21,4,3,0,0,1,0,0,0,29,20
6cks,-48.0386,-35.0657,46.2894,-6.2079,-43.0228,568.8,1.8,113.1,3.76,136.9,3.0,6.62,7.82,-10.6352,0,23,3,4,0,0,1,0,0,0,31,23
6ckw,-71.5571,-139.5577,153.4051,-8.1798,-65.8895,781.9,3.7,94.3,2.67,305.3,7.0,7.31,9.08,-12.3488,1,24,8,1,0,0,0,1,0,0,34,26
6cn5,-78.2379,-31.1985,52.2677,-9.0025,-66.1712,925.7,2.1,201.5,4.8,300.7,2.0,8.77,7.7,-10.472,0,28,5,2,0,0,0,0,0,0,35,31
6cpw,-92.4735,-145.112,169.3255,-10.514,-78.774,1120.4,2.6,141.4,5.21,266.1,4.0,9.24,8.25,-11.22,1,35,8,2,1,0,1,0,0,0,47,36
6csp,-18.7144,-79.3518,54.2968,-3.1403,-46.9097,290.6,4.2,74.2,1.2,137.5,0.0,5.49,8.52,-11.5872,0,7,1,2,0,0,0,0,0,0,10,11
6csq,-15.7855,-85.494,50.8971,-3.3498,-53.7322,302.1,4.1,75.6,1.79,146.4,1.0,5.54,6.39,-8.6904,0,7,1,2,0,0,0,0,0,0,10,13
6csr,-14.2834,-75.8319,49.8942,-3.1798,-43.4009,294.5,4.0,77.3,1.98,123.8,0.0,5.58,6.84,-9.3024,0,7,1,2,0,0,0,0,0,0,10,7
6css,-17.2648,-72.9908,46.5315,-3.0639,-46.788,262.9,3.8,65.4,0.84,126.5,0.0,5.26,7.6,-10.336,0,6,1,2,0,0,0,0,0,0,9,9
6cwh,-35.7874,-131.3265,113.1606,-4.6356,-58.5889,509.1,5.2,18.5,0.53,146.7,3.0,5.95,7.54,-10.2544,-1,12,1,8,0,0,0,0,0,0,21,18
6cwn,-33.8389,-137.5015,113.0393,-4.6352,-62.9363,513.7,7.0,16.6,0.53,129.7,3.0,6.08,6.65,-9.044,-1,12,1,8,0,0,0,0,0,0,21,18
6d2o,-14.3018,-10.3293,13.7562,-1.6872,-12.5621,118.7,0.0,4.9,0.0,82.7,0.0,4.05,5.3,-7.208,0,4,2,0,0,0,0,0,0,0,6,6
6d50,-13.2717,27.7674,-62.581,-3.367,-51.4523,357.3,7.3,0.0,0.0,0.0,1.0,5.35,5.05,-6.868,-1,6,0,7,0,0,0,0,0,0,13,7
6d55,-57.4652,-614.1858,613.8828,-6.7914,-64.5596,724.1,1.0,119.8,3.1,248.1,2.0,7.34,7.36,-10.0096,2,26,6,0,1,0,0,1,0,0,34,34
6d56,-61.1776,-293.8774,301.5971,-6.7561,-60.214,748.9,0.3,141.1,4.01,321.9,2.0,7.67,8.05,-10.948,1,26,6,0,1,0,0,1,0,0,34,29
6d5e,-53.1188,-545.1851,550.2076,-6.2475,-54.3438,678.7,1.1,111.6,3.43,287.8,3.0,7.15,6.85,-9.316,2,25,6,0,1,0,0,1,0,0,33,34
6d5g,-52.2517,-621.2009,614.7547,-6.3824,-65.0803,685.7,1.5,114.4,3.1,267.6,2.0,7.24,6.6,-8.976,2,25,5,0,1,0,0,1,0,0,32,31
6d5h,-58.1238,-304.3861,306.9744,-6.6292,-62.1647,711.2,1.0,136.5,4.69,318.9,2.0,7.64,6.92,-9.4112,1,26,4,0,1,0,0,2,0,0,33,26
6d5j,-46.7487,-296.4202,297.5854,-5.983,-51.5665,608.1,1.0,113.0,3.1,283.5,2.0,6.9,6.34,-8.6224,1,20,4,0,1,0,0,1,0,0,26,23
6d9x,-31.3345,-7.944,23.9563,-3.4411,-18.7633,414.2,1.0,82.1,2.25,179.8,0.0,5.95,3.49,-4.7464,0,12,2,0,0,0,0,0,0,0,14,10
6dai,-40.6865,3.4649,16.0826,-4.0088,-25.1478,491.9,0.0,82.5,0.52,185.1,1.0,5.89,4.07,-5.5352,0,15,3,0,0,0,0,0,0,0,18,19
6dak,-46.4951,-6.5976,25.6983,-4.9402,-32.3346,585.0,1.0,109.8,3.71,236.3,2.0,6.82,5.14,-6.9904,0,20,3,1,0,0,0,0,0,0,24,17
6dar,-54.8803,-4.4434,24.9568,-6.1534,-40.5203,714.3,1.0,126.9,4.11,228.3,5.0,7.18,6.66,-9.0576,0,25,3,2,0,0,0,0,0,0,30,27
6dh1,-75.715,-50.3534,72.0085,-8.2963,-62.3562,870.7,4.2,106.0,5.0,334.1,11.0,7.74,10.58,-14.3888,0,28,3,7,0,0,1,0,0,0,39,39
6dh2,-82.0775,-54.4482,72.2688,-9.3392,-73.5961,905.5,4.3,116.7,4.93,353.4,11.0,7.94,10.89,-14.8104,0,29,3,7,0,0,1,0,0,0,40,47
